id,scoredEmailAddresses_0_address,scoredEmailAddresses_0_relevanceScore,scoredEmailAddresses_0_selectionLikelihood
DWqu85JqLF,xueelMH@test.com,44,notSpecified
ty2R0dssHF,yW5yDUU@example.com,514,notSpecified
nEqaswkaRW,FOHCtDQ@example.com,287,notSpecified
60IbiuscLo,vnwkFlW@test.com,840,notSpecified
LjyH39D90M,PYg9W6s@example.com,408,notSpecified
wU2IvRohnp,DktO3wN@email.com,374,notSpecified
odcs24SByz,ceRgMhp@email.com,364,notSpecified
vXPUBxFm2k,ilGp2BO@test.com,740,notSpecified
M9bpozV6gG,1CWuNmi@example.com,236,notSpecified
mNS3NTptjE,pKesPXr@test.com,941,notSpecified
dfdfhsghsdfsdf,actual_user@test.com,1,notSpecified
